Index,Variant,country,Region,Subregion,Notes,Countrycode,Type,Parent code,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
139,Medium variant,Lao People's Democratic Republic,Asia,South-Eastern Asia,,418,Country/Area,920,24.4,26,27.6,29.2,31,32.8,34.5,36.3,38,39.6,41.1,42.3,43.5,44.6,45.6,46.5,47.4
140,Medium variant,Malaysia,Asia,South-Eastern Asia,12,458,Country/Area,920,30.3,32.2,34.1,36,37.8,39.3,40.5,41.6,42.8,43.9,45,45.9,46.6,47,47.3,47.6,47.9
141,Medium variant,Myanmar,Asia,South-Eastern Asia,,104,Country/Area,920,29,30.4,31.9,33.4,34.9,36.2,37.3,38.2,39.1,39.9,40.7,41.5,42.1,42.6,43.1,43.4,43.8
142,Medium variant,Philippines,Asia,South-Eastern Asia,,608,Country/Area,920,25.7,27.3,28.8,30.2,31.7,33.2,34.7,35.9,37.2,38.4,39.7,40.9,41.9,43,43.9,44.8,45.6
143,Medium variant,Singapore,Asia,South-Eastern Asia,,702,Country/Area,920,42.2,44.6,46.8,48.8,50.5,52.1,53.4,54.3,54,53.5,53.1,53.2,53.2,53,52.7,52.4,52.2
144,Medium variant,Thailand,Asia,South-Eastern Asia,,764,Country/Area,920,40.1,42,43.7,45.2,46.8,48.3,49.7,50.6,51.3,51.9,52.3,52.6,52.8,52.7,52.6,52.5,52.3
145,Medium variant,Timor-Leste,Asia,South-Eastern Asia,,626,Country/Area,920,20.8,21.9,23.1,24.1,25.2,26.8,28.3,29.9,31.6,33.2,34.7,36.2,37.5,38.8,40,41.3,42.6
146,Medium variant,Viet Nam,Asia,South-Eastern Asia,,704,Country/Area,920,32.5,34.6,36.7,38.5,39.7,40.4,41.2,42.1,43.1,44.2,45,45.5,45.7,45.7,46,46.5,47.1
149,Medium variant,Antigua and Barbuda,LAC,Caribbean,,28,Country/Area,915,34,35.4,36.9,38.3,39.7,40.6,41.3,42,42.9,43.7,44.5,45.1,45.6,46.1,46.6,47.1,47.6
150,Medium variant,Aruba,LAC,Caribbean,13,533,Country/Area,915,41,41.2,40.7,41.3,42,42.7,43.3,43.4,43.1,43.3,43.9,44.6,45.3,45.8,46,46,46.2
151,Medium variant,Bahamas,LAC,Caribbean,,44,Country/Area,915,32.3,33.7,35.4,37.1,38.7,40.1,41.3,42.1,42.6,43.2,43.7,44.3,44.7,45,45.2,45.4,45.6
152,Medium variant,Barbados,LAC,Caribbean,,52,Country/Area,915,40.5,41.9,43.1,44.2,45.3,46.3,47.3,48.1,48.5,48.7,48.8,49.1,49.4,49.8,50.1,50.2,50.2
153,Medium variant,Cuba,LAC,Caribbean,,192,Country/Area,915,42.2,43.4,44.7,46.6,48.1,49.3,50.3,50.8,51.1,51.7,52.2,52.6,52.9,53,53,53.1,53.2
154,Medium variant,Curaçao,LAC,Caribbean,13,531,Country/Area,915,41.6,42,42.4,42.9,43.6,44.4,45.3,46.1,46.8,47.4,47.8,48.3,48.8,49.2,49.6,49.8,49.9
155,Medium variant,Dominican Republic,LAC,Caribbean,,214,Country/Area,915,28,29.6,31.3,32.9,34.4,35.9,37.5,39.1,40.7,42.2,43.6,44.9,46.1,47.2,48.2,49.1,49.9
156,Medium variant,Grenada,LAC,Caribbean,,308,Country/Area,915,32,33.6,35.3,36.8,37.8,38.5,39.6,41,42.5,43.8,44.9,45.5,45.9,46.5,47.2,48,48.8
